Artist,Title,Popularity
Thr3shold & The Visitors,Sektor V,0
Sly One vs. Jurrane,Silicone Stars,0
Cern,The Message (Southern Mix),10
Muse,New Born,46
Signum feat. Scott Mac,Coming On Strong (Original Mix),0
Sebastian Ingrosso + Alesso Feat. Ryan Tedder ,Calling (Lose My Mind) (Extended Club Mix),0
Alan Walker,Faded (Tungevaag & Raaban Remix),44
Yahel & Eyal Barkan,Voyage (Original Mix),0
Bob Dylan,Blowin' In The Wind,68
Agnelli & Nelson,Holding On To Nothing (Paul van Dyk Edit),0
Earth Nation,Alienated (John Askew Remix),1
Orjan Nilsen,La Guitarra (Original Mix),12
Tiësto,Suburban Train (Sean Tyas Dirty Mix),16
Olive,You're Not Alone (Radio Edit),45
The Weeknd,Blinding Lights (W&W Festival Mix),57
Sophie Sugar,Call Of Tomorrow (John O'Callaghan Remix),3
Alex M.O.R.P.H. feat. Ana Criado,Sunset Boulevard (Original Mix),10
Adam Foley,Changes,0
EnMass,CQ (Seek You),6
Felix Jaehn Feat. Jasmine Thompson ,Ain't Nobody (Loves Me Better),0
Carrie Skipper,Time Goes By (Super8 Deep Mix),15
Jon Secada,Just Another Day,64
Shake,I Breathe Music,0
Shy Rose,I Cry For You (Club Mix),37
Adam Foley,Castaway,0
Andain,Beautiful Things (Photon Project Remix),3
Angèle,Flou (Lost Frequencies Remix),0
Trust Company,Downfall,0
Red Hot Chili Peppers,Snow ((Hey Oh)),78
Sniff 'n' the Tears,Driver's Seat,50
Witness45,iPlanet (Original Mix),0
Dogzilla,Without You (John O'Callaghan Nailz Dub Remix),0
Sophie Sugar,Fallen Too Far (Orginal Mix),0
Greg Downey,Grade A (Original Mix),0
John O'Callaghan feat. Audrey Gallagher,Big Sky (Agnelli & Nelson Remix),0
Thomas Bronzwaer,Titan (Original Mix),0
Swedish House Mafia vs. Tinie Tempah,Miami 2 Ibiza (Clean Radio Edit),0
Delerium,Heaven's Earth (Matt Darey Remix),22
Laura Branigan,Self Control,72
Avicii,Levels ,0
Daniel Kandi & Robert Nickson,Liberate,0
Push,Till We Meet Again (Original Mix),4
Perasma,Swing 2 Harmony (Gabriel & Dresden Remix),0
Alex Adair,	Make Me Feel Better (Don Diablo & Cid Remix),30
Aalto,5 (Original Mix),0
Elvis vs. JXL,A Little Less Conversation (Radio Edit Remix),0
GTR,Mistral (Original Mix),15
Gabriel & Dresden,Let Go,0
Andy Moor,Fake Awake (Original Mix),10
Green Day,American Idiot,78
Quench,Dreams,0
Above & Beyond,Alone Tonight (Above & Beyond's Club Mix),26
The Prodigy,Invaders Must Die,55
Armin van Buuren,Imagine (Original Mix),7
Li Kwan,Point Zero 2004 (Leama & Moor Remix),0
The Chainsmokers & ILLENIUM,Takeaway,0
Bjorn Akesson,Gunsmoke (Original Mix),9
Swedish House Mafia,Greyhound,61
Neelix,Expect What (Original Mix),1
Richard Durand,Always The Sun (Falldown Mix),0
Space Cat,Kreak part 2 (Kami's Jeplaaaaa Remake),0
William Orbit,Ravel's Pavane Pour Une Infante Défunte (Ferry Corsten Mix),2
Sandro Silva x Willy William,Bollywood (Extended Mix),0
V-One,Dead Cities (Original Mix),11
Sayla,Majestic (Arizona vs. Passiva Remix),6
Simon Patterson,We'll See (Paul Webster Remix),0
Passenger,Caravan (Kygo Remix),0
Red Hot Chili Peppers,By The Way,74
John Askew,The Door (Activa Remix),0
Sophie Sugar,Redemption (Original Mix),1
Richard Durand,Into Something (Original Mix),0
Mekka,Diamondback,18
Vertical Mode,Modular Pitch (Original Mix),0
Mike Foyle,Pandora (The Blizzard Remix),19
Orkidea,Metaverse (Gareth Emery Remix),30
Humate,Love Stimulation (Lovemix),5
Li Kwan,Point Zero,0
The Aztec Mystic,Jaguar,0
Rex Mundi,Hidden Treasures (Original Mix),0
Simon O'Shine & Ahmed Romel,L'Absente (Original Mix),0
John O'Callaghan,Stresstest (John Askew Remix),24
Vitalic,La Rock 01,38
Deep Dish,Say Hello (Paul Van Dyk Mix),0
U2,Where The Streets Have No Name (John O'Callaghan Remix),70
Above & Beyond,Home (Above & Beyond Club Mix),28
Endre,Kallocain (Robert Nickson Remix),7
BT,Never Gonna Come Back Down (Hybrid's Breaktek Mix),5
Sneijder & Bryan Kearney,Proper Order (Original Mix),0
Umek,Gatex (Tiësto Remix),0
Mathew Jonson,Marionette,33
DJ Tiësto,Theme From Norefjell (Magikal Remake),26
Queen,Bohemian Rapsody,0
Major Lazer x DJ Snake Feat. MØ,Lean On,0
Randy Boyer & Eric Tadla,Stemcell (Original Mix),0
